Date,Product,Dispensation
2020-01-01,Paracetamol,482
2020-01-02,Paracetamol,485
2020-01-03,Paracetamol,470
2020-01-04,Paracetamol,464
2020-01-05,Paracetamol,451
2020-01-06,Paracetamol,480
2020-01-07,Paracetamol,516
2020-01-08,Paracetamol,465
2020-01-09,Paracetamol,524
2020-01-10,Paracetamol,506
2020-01-11,Paracetamol,532
2020-01-12,Paracetamol,543
2020-01-13,Paracetamol,453
2020-01-14,Paracetamol,481
2020-01-15,Paracetamol,464
2020-01-16,Paracetamol,522
2020-01-17,Paracetamol,512
2020-01-18,Paracetamol,463
2020-01-19,Paracetamol,508
2020-01-20,Paracetamol,470
2020-01-21,Paracetamol,504
2020-01-22,Paracetamol,468
2020-01-23,Paracetamol,458
2020-01-24,Paracetamol,541
2020-01-25,Paracetamol,458
2020-01-26,Paracetamol,523
2020-01-27,Paracetamol,508
2020-01-28,Paracetamol,453
2020-01-29,Paracetamol,514
2020-01-30,Paracetamol,523
2020-01-31,Paracetamol,540
2020-02-01,Paracetamol,535
2020-02-02,Paracetamol,516
2020-02-03,Paracetamol,462
2020-02-04,Paracetamol,492
2020-02-05,Paracetamol,526
2020-02-06,Paracetamol,482
2020-02-07,Paracetamol,534
2020-02-08,Paracetamol,547
2020-02-09,Paracetamol,505
2020-02-10,Paracetamol,508
2020-02-11,Paracetamol,487
2020-02-12,Paracetamol,490
2020-02-13,Paracetamol,457
2020-02-14,Paracetamol,509
2020-02-15,Paracetamol,527
2020-02-16,Paracetamol,492
2020-02-17,Paracetamol,520
2020-02-18,Paracetamol,494
2020-02-19,Paracetamol,492
2020-02-20,Paracetamol,468
2020-02-21,Paracetamol,548
2020-02-22,Paracetamol,521
2020-02-23,Paracetamol,467
2020-02-24,Paracetamol,514
2020-02-25,Paracetamol,505
2020-02-26,Paracetamol,530
2020-02-27,Paracetamol,483
2020-02-28,Paracetamol,514
2020-02-29,Paracetamol,526
2020-03-01,Paracetamol,457
2020-03-02,Paracetamol,534
2020-03-03,Paracetamol,483
2020-03-04,Paracetamol,485
2020-03-05,Paracetamol,489
2020-03-06,Paracetamol,538
2020-03-07,Paracetamol,509
2020-03-08,Paracetamol,478
2020-03-09,Paracetamol,527
2020-03-10,Paracetamol,470
2020-03-11,Paracetamol,477
2020-03-12,Paracetamol,470
2020-03-13,Paracetamol,500
2020-03-14,Paracetamol,492
2020-03-15,Paracetamol,466
2020-03-16,Paracetamol,497
2020-03-17,Paracetamol,514
2020-03-18,Paracetamol,480
2020-03-19,Paracetamol,539
2020-03-20,Paracetamol,450
2020-03-21,Paracetamol,535
2020-03-22,Paracetamol,526
2020-03-23,Paracetamol,545
2020-03-24,Paracetamol,512
2020-03-25,Paracetamol,450
2020-03-26,Paracetamol,519
2020-03-27,Paracetamol,545
2020-03-28,Paracetamol,542
2020-03-29,Paracetamol,451
2020-03-30,Paracetamol,481
2020-03-31,Paracetamol,503
2020-04-01,Paracetamol,498
2020-04-02,Paracetamol,452
2020-04-03,Paracetamol,479
2020-04-04,Paracetamol,524
2020-04-05,Paracetamol,482
2020-04-06,Paracetamol,493
2020-04-07,Paracetamol,499
2020-04-08,Paracetamol,538
2020-04-09,Paracetamol,539
2020-04-10,Paracetamol,488
2020-04-11,Paracetamol,522
2020-04-12,Paracetamol,464
2020-04-13,Paracetamol,530
2020-04-14,Paracetamol,541
2020-04-15,Paracetamol,542
2020-04-16,Paracetamol,521
2020-04-17,Paracetamol,529
2020-04-18,Paracetamol,476
2020-04-19,Paracetamol,535
2020-04-20,Paracetamol,487
2020-04-21,Paracetamol,461
2020-04-22,Paracetamol,525
2020-04-23,Paracetamol,549
2020-04-24,Paracetamol,512
2020-04-25,Paracetamol,451
2020-04-26,Paracetamol,452
2020-04-27,Paracetamol,528
2020-04-28,Paracetamol,491
