Date,Product,Dispensation
2020-01-01,Zinnat,300
2020-01-02,Zinnat,300
2020-01-03,Zinnat,300
2020-01-04,Zinnat,301
2020-01-05,Zinnat,301
2020-01-06,Zinnat,301
2020-01-07,Zinnat,301
2020-01-08,Zinnat,301
2020-01-09,Zinnat,301
2020-01-10,Zinnat,302
2020-01-11,Zinnat,302
2020-01-12,Zinnat,302
2020-01-13,Zinnat,302
2020-01-14,Zinnat,302
2020-01-15,Zinnat,303
2020-01-16,Zinnat,303
2020-01-17,Zinnat,303
2020-01-18,Zinnat,403
2020-01-19,Zinnat,303
2020-01-20,Zinnat,303
2020-01-21,Zinnat,304
2020-01-22,Zinnat,304
2020-01-23,Zinnat,304
2020-01-24,Zinnat,304
2020-01-25,Zinnat,354
2020-01-26,Zinnat,305
2020-01-27,Zinnat,305
2020-01-28,Zinnat,305
2020-01-29,Zinnat,355
2020-01-30,Zinnat,305
2020-01-31,Zinnat,305
2020-02-01,Zinnat,306
2020-02-02,Zinnat,306
2020-02-03,Zinnat,306
2020-02-04,Zinnat,406
2020-02-05,Zinnat,306
2020-02-06,Zinnat,307
2020-02-07,Zinnat,307
2020-02-08,Zinnat,307
2020-02-09,Zinnat,307
2020-02-10,Zinnat,407
2020-02-11,Zinnat,307
2020-02-12,Zinnat,308
2020-02-13,Zinnat,308
2020-02-14,Zinnat,308
2020-02-15,Zinnat,308
2020-02-16,Zinnat,308
2020-02-17,Zinnat,309
2020-02-18,Zinnat,309
2020-02-19,Zinnat,309
2020-02-20,Zinnat,309
2020-02-21,Zinnat,309
2020-02-22,Zinnat,309
2020-02-23,Zinnat,310
2020-02-24,Zinnat,310
2020-02-25,Zinnat,310
2020-02-26,Zinnat,310
2020-02-27,Zinnat,310
2020-02-28,Zinnat,311
2020-02-29,Zinnat,311
2020-03-01,Zinnat,311
2020-03-02,Zinnat,311
2020-03-03,Zinnat,361
2020-03-04,Zinnat,311
2020-03-05,Zinnat,312
2020-03-06,Zinnat,312
2020-03-07,Zinnat,312
2020-03-08,Zinnat,412
2020-03-09,Zinnat,312
2020-03-10,Zinnat,313
2020-03-11,Zinnat,313
2020-03-12,Zinnat,413
2020-03-13,Zinnat,413
2020-03-14,Zinnat,313
2020-03-15,Zinnat,313
2020-03-16,Zinnat,314
2020-03-17,Zinnat,314
2020-03-18,Zinnat,314
2020-03-19,Zinnat,364
2020-03-20,Zinnat,314
2020-03-21,Zinnat,364
2020-03-22,Zinnat,315
2020-03-23,Zinnat,315
2020-03-24,Zinnat,315
2020-03-25,Zinnat,315
2020-03-26,Zinnat,315
2020-03-27,Zinnat,316
2020-03-28,Zinnat,316
2020-03-29,Zinnat,316
2020-03-30,Zinnat,366
2020-03-31,Zinnat,316
2020-04-01,Zinnat,316
2020-04-02,Zinnat,317
2020-04-03,Zinnat,317
2020-04-04,Zinnat,317
2020-04-05,Zinnat,317
2020-04-06,Zinnat,317
2020-04-07,Zinnat,317
2020-04-08,Zinnat,318
2020-04-09,Zinnat,318
2020-04-10,Zinnat,318
2020-04-11,Zinnat,318
2020-04-12,Zinnat,318
2020-04-13,Zinnat,318
2020-04-14,Zinnat,319
2020-04-15,Zinnat,319
2020-04-16,Zinnat,319
2020-04-17,Zinnat,319
2020-04-18,Zinnat,319
2020-04-19,Zinnat,320
2020-04-20,Zinnat,320
2020-04-21,Zinnat,320
2020-04-22,Zinnat,320
2020-04-23,Zinnat,320
2020-04-24,Zinnat,320
2020-04-25,Zinnat,321
2020-04-26,Zinnat,321
2020-04-27,Zinnat,321
2020-04-28,Zinnat,321
2020-04-29,Zinnat,321
2020-04-30,Zinnat,321
2020-05-01,Zinnat,322
2020-05-02,Zinnat,322
2020-05-03,Zinnat,322
2020-05-04,Zinnat,322
2020-05-05,Zinnat,322
2020-05-06,Zinnat,322
2020-05-07,Zinnat,323
2020-05-08,Zinnat,323
2020-05-09,Zinnat,323
2020-05-10,Zinnat,323
2020-05-11,Zinnat,323
2020-05-12,Zinnat,323
2020-05-13,Zinnat,324
2020-05-14,Zinnat,324
2020-05-15,Zinnat,324
2020-05-16,Zinnat,324
2020-05-17,Zinnat,324
2020-05-18,Zinnat,324
2020-05-19,Zinnat,325
2020-05-20,Zinnat,325
2020-05-21,Zinnat,325
2020-05-22,Zinnat,325
2020-05-23,Zinnat,325
2020-05-24,Zinnat,425
2020-05-25,Zinnat,376
2020-05-26,Zinnat,326
2020-05-27,Zinnat,326
2020-05-28,Zinnat,326
2020-05-29,Zinnat,326
2020-05-30,Zinnat,326
2020-05-31,Zinnat,326
2020-06-01,Zinnat,327
2020-06-02,Zinnat,327
2020-06-03,Zinnat,327
2020-06-04,Zinnat,327
2020-06-05,Zinnat,327
2020-06-06,Zinnat,327
2020-06-07,Zinnat,328
2020-06-08,Zinnat,328
2020-06-09,Zinnat,328
2020-06-10,Zinnat,428
2020-06-11,Zinnat,328
2020-06-12,Zinnat,328
2020-06-13,Zinnat,329
2020-06-14,Zinnat,329
2020-06-15,Zinnat,379
2020-06-16,Zinnat,329
2020-06-17,Zinnat,329
2020-06-18,Zinnat,329
2020-06-19,Zinnat,329
2020-06-20,Zinnat,330
2020-06-21,Zinnat,330
2020-06-22,Zinnat,330
2020-06-23,Zinnat,330
2020-06-24,Zinnat,430
2020-06-25,Zinnat,330
2020-06-26,Zinnat,331
2020-06-27,Zinnat,331
2020-06-28,Zinnat,331
2020-06-29,Zinnat,331
2020-06-30,Zinnat,331
2020-07-01,Zinnat,331
2020-07-02,Zinnat,331
2020-07-03,Zinnat,332
2020-07-04,Zinnat,332
2020-07-05,Zinnat,332
2020-07-06,Zinnat,332
2020-07-07,Zinnat,332
2020-07-08,Zinnat,332
2020-07-09,Zinnat,333
2020-07-10,Zinnat,333
2020-07-11,Zinnat,333
2020-07-12,Zinnat,333
2020-07-13,Zinnat,333
2020-07-14,Zinnat,333
2020-07-15,Zinnat,433
2020-07-16,Zinnat,434
2020-07-17,Zinnat,334
2020-07-18,Zinnat,334
2020-07-19,Zinnat,334
2020-07-20,Zinnat,334
2020-07-21,Zinnat,334
2020-07-22,Zinnat,334
2020-07-23,Zinnat,335
2020-07-24,Zinnat,335
2020-07-25,Zinnat,335
2020-07-26,Zinnat,335
2020-07-27,Zinnat,335
2020-07-28,Zinnat,435
2020-07-29,Zinnat,335
2020-07-30,Zinnat,336
2020-07-31,Zinnat,336
2020-08-01,Zinnat,336
2020-08-02,Zinnat,386
2020-08-03,Zinnat,336
2020-08-04,Zinnat,336
2020-08-05,Zinnat,336
2020-08-06,Zinnat,336
2020-08-07,Zinnat,337
2020-08-08,Zinnat,337
2020-08-09,Zinnat,337
2020-08-10,Zinnat,337
2020-08-11,Zinnat,437
2020-08-12,Zinnat,337
2020-08-13,Zinnat,337
2020-08-14,Zinnat,338
2020-08-15,Zinnat,338
2020-08-16,Zinnat,338
2020-08-17,Zinnat,338
2020-08-18,Zinnat,338
2020-08-19,Zinnat,338
2020-08-20,Zinnat,338
2020-08-21,Zinnat,388
2020-08-22,Zinnat,339
2020-08-23,Zinnat,339
2020-08-24,Zinnat,339
2020-08-25,Zinnat,339
2020-08-26,Zinnat,339
2020-08-27,Zinnat,339
2020-08-28,Zinnat,339
2020-08-29,Zinnat,340
2020-08-30,Zinnat,340
2020-08-31,Zinnat,340
2020-09-01,Zinnat,390
2020-09-02,Zinnat,340
2020-09-03,Zinnat,390
2020-09-04,Zinnat,340
2020-09-05,Zinnat,340
2020-09-06,Zinnat,341
2020-09-07,Zinnat,341
2020-09-08,Zinnat,341
2020-09-09,Zinnat,341
2020-09-10,Zinnat,341
2020-09-11,Zinnat,341
2020-09-12,Zinnat,341
2020-09-13,Zinnat,341
2020-09-14,Zinnat,342
2020-09-15,Zinnat,342
2020-09-16,Zinnat,342
2020-09-17,Zinnat,342
2020-09-18,Zinnat,342
2020-09-19,Zinnat,342
2020-09-20,Zinnat,342
2020-09-21,Zinnat,342
2020-09-22,Zinnat,342
2020-09-23,Zinnat,343
2020-09-24,Zinnat,343
2020-09-25,Zinnat,343
2020-09-26,Zinnat,343
2020-09-27,Zinnat,443
2020-09-28,Zinnat,343
2020-09-29,Zinnat,343
